timestamp,BPM
1744826916.383685,101.0,0
1744826916.892319,97.0,0
1744826917.3983243,95.0,0
1744826917.8027344,92.0,0
1744826918.1150773,104.0,0
1744826922.0527372,54.0,0
1744826922.7623699,57.0,0
1744826923.1666956,61.0,0
1744826923.3710349,67.0,0
1744826923.8774545,71.0,0
1744826924.3823547,77.0,0
1744826928.506189,56.0,0
1744826929.114234,59.0,0
1744826929.9219978,60.0,0
1744826930.4276729,63.0,0
1744826930.9345481,68.0,0
1744826931.238869,74.0,0
1744826931.645661,81.0,0
1744826931.9506521,90.0,0
1744826933.4608796,85.0,0
1744826934.5695267,83.0,0
1744826935.2765293,88.0,0
1744826935.681945,91.0,0
1744826935.9874187,99.0,0
1744826936.695557,97.0,0
1744826937.4024308,92.0,0
1744826937.9088266,89.0,0
1744826938.3141482,88.0,0
1744826938.921687,86.0,0
1744826939.832116,93.0,0
1744826940.4419892,102.0,0
1744826940.84901,107.0,0
1744826941.1523333,109.0,0
1744826941.4571533,109.0,0
1744826941.761589,116.0,0
1744826942.4683623,119.0,0
1744826942.8735492,122.0,0
1744826943.1776493,123.0,0
1744826943.9854925,116.0,0
1744826944.4929676,128.0,0
1744826944.8990889,133.0,0
1744826945.2029788,138.0,0
1744826945.405785,141.0,0
1744826946.0110338,131.0,0
1744826946.4172387,132.0,0
1744826946.6226685,144.0,0
1744826947.4290063,130.0,0
1744826958.2915974,37.0,0
1744826959.4034843,38.0,0
1744826960.2140462,41.0,0
1744826961.1310613,42.0,0
1744826961.7456048,46.0,0
1744826962.6550782,48.0,0
1744826963.677435,50.0,0
1744826964.3942094,55.0,0
1744826964.8044498,62.0,0
1744826965.115297,71.0,0
1744826965.332437,84.0,0
1744826965.74368,96.0,0
1744826965.949106,103.0,0
1744826966.259446,117.0,0
1744826966.979709,114.0,0
1744826967.400077,125.0,0
1744826968.0186331,139.0,0
1744826968.4291444,148.0,0
1744826969.1396663,136.0,0
1744826969.7510426,131.0,0
1744826970.263649,123.0,0
1744826970.7735984,118.0,0
1744826971.0875568,116.0,0
1744826971.2978165,117.0,0
1744826971.6050384,128.0,0
1744826972.716032,112.0,0
1744826973.3230915,112.0,0
1744826974.1349838,104.0,0
1744826974.6449132,109.0,0
1744826974.951625,113.0,0
1744826975.662918,110.0,0
1744826976.174126,111.0,0
1744826976.583734,109.0,0
1744826977.291199,100.0,0
1744826977.7984889,96.0,0
1744826978.3131428,107.0,0
1744826978.5283182,115.0,0
1744826978.8419805,127.0,0
1744826979.5682762,121.0,0
1744826980.3824134,110.0,0
1744826981.5982008,101.0,0
1744826982.425832,96.0,0
1744826982.9347057,94.0,0
1744826983.2470913,101.0,0
1744826983.5597453,105.0,0
1744826984.0689523,104.0,0
1744826984.3793325,103.0,0
1744826984.6958795,103.0,0
1744826985.0145948,109.0,0
1744826985.5409803,118.0,0
1744827008.1944807,60.0,0
1744827008.8138568,62.0,0
1744827009.128316,66.0,0
1744827009.8399575,69.0,0
1744827010.4556422,72.0,0
1744827011.0655534,76.0,0
1744827011.3740058,82.0,0
1744827011.6880965,91.0,0
1744827012.1962106,100.0,0
1744827016.026076,105.0,0
1744827016.4423916,108.0,0
1744827017.3526988,102.0,0
1744827018.2619786,96.0,0
1744827019.375277,88.0,0
1744827019.9946363,87.0,0
1744827021.0073667,82.0,0
1744827021.722893,81.0,0
1744827022.7437818,76.0,0
1744827023.476227,74.0,0
1744827024.0937817,74.0,0
1744827024.5119522,73.0,0
1744827025.7419696,71.0,0
1744827026.7615087,70.0,0
1744827027.365921,74.0,0
1744827027.7728076,77.0,0
1744827029.0851638,74.0,0
1744827029.7945168,73.0,0
1744827031.4083185,69.0,0
1744827032.3187087,68.0,0
1744827033.027569,66.0,0
1744827033.5356054,66.0,0
1744827033.8428347,74.0,0
1744827036.0591404,64.0,0
1744827037.3700109,60.0,0
1744827038.4812906,56.0,0
1744827039.1012495,59.0,0
1744827040.6202784,55.0,0
